"W       1830 1945 BUSN 107 (Class)
W       2000 2115 BUSN 107 (Class)"
"W       1830 1945 BUSN 103 (Class)
W       2000 2115 BUSN 103 (Class)"
"W       1830 1945 BUSN 101 (Class)
W       2000 2115 BUSN 101 (Class)"
"W       1830 1945 BOZ 166 (Class)
W       2000 2115 BOZ 166 (Class)"
"W       1830 1945 BOZ 147 (Class)
W       2000 2115 BOZ 147 (Class)"
"W       1830 1945 BOZ 147 (Class)
W       2000 2115 BOZ 147 (Class)"
"W       1830 1945 BOZ 132 (Class)
W       2000 2115 BOZ 132 (Class)"
"W       1830 1945 301HGH 326 (Class)
W       2000 2115 301HGH 326 (Class)"
"W       1830 1945 301HGH 216 (Class)
W       2000 2115 301HGH 216 (Class)"
"W       1830 1945 301HGH 215 (Class)
W       2000 2115 301HGH 215 (Class)"
W       1700 1930 JAMES 2100 (Class)
W       1700 1930 JAMES 2098 (Class)
W       1700 1930 JAMES 1119 (Class)
"W       1700 1900 JAMES 2104 (Class)
   "
W       1700 1840 WILSON 206 (Class)
W       1700 1840 JAMES 1081 (Class)
"W       1700 1815 WILSON 212 (Class)
W       1830 1945 WILSON 212 (Class)"
"W       1700 1815 WILSON 212 (Class)
W       1830 1945 WILSON 212 (Class)"
"W       1700 1815 WILSON 205 (Class)
W       1830 1945 WILSON 205 (Class)"
W       1700 1815 WILSON 114 (Class)
"W       1700 1815 WESTBY 111 (Class)
W       1830 1945 WESTBY 111 (Class)"
"W       1700 1815 WESTBY 111 (Class)
W       1830 1945 WESTBY 111 (Class)"
"W       1700 1815 VCTRIA 302 (Class)
W       1830 1945 VCTRIA 302 (Class)"
"W       1700 1815 SCIENC 254 (Class)
W       1830 1945 SCIENC 254 (Class)"
"W       1700 1815 SAVITZ 321 (Class)
W       1830 1945 SAVITZ 321 (Class)"
"W       1700 1815 SAVITZ 217 (Class)
W       1830 1945 SAVITZ 217 (Class)"
"W       1700 1815 ROWAN 146 (Class)
W       1830 1945 ROWAN 146 (Class)"
"W       1700 1815 ROBSON 201B (Class)
W       1830 1945 ROBSON 201B (Class)"
"W       1700 1815 REXT 107 (Class)
W       1830 1945 REXT 107 (Class)"
"W       1700 1815 LBRARY 403 (Class)
W       1830 1945 LBRARY 403 (Class)"
"W       1700 1815 LBRARY 226 (Class)
W       1830 1945 LBRARY 226 (Class)"
"W       1700 1815 LBRARY 126 (Class)
W       1830 1945 LBRARY 126 (Class)"
"W       1700 1815 JAMES 3091B (Class)
W       1830 1945 JAMES 3091B (Class)"
"W       1700 1815 JAMES 2103 (Class)
W       1830 1945 JAMES 2103 (Class)"
"W       1700 1815 JAMES 2097 (Class)
W       1830 1945 JAMES 2097 (Class)"
"W       1700 1815 JAMES 2096 (Class)
W       1830 1945 JAMES 2096 (Class)"
"W       1700 1815 JAMES 2094 (Class)
W       1830 1945 JAMES 2094 (Class)"
"W       1700 1815 JAMES 1146 (Class)
W       1830 1945 JAMES 1146 (Class)"
"W       1700 1815 JAMES 1112 (Class)
W       1830 1945 JAMES 1112 (Class)"
"W       1700 1815 JAMES 1056 (Class)
W       1830 1945 JAMES 1056 (Class)"
"W       1700 1815 JAMES 1019 (Class)
W       1830 1945 JAMES 1019 (Class)"
"W       1700 1815 ENTPRZ 506 (Class)
W       1830 1945 ENTPRZ 506 (Class)"
W       1700 1815 BUSN 303 (Class)
W       1700 1815 BUSN 131 (Class)
W       1700 1815 BUSN 121 (Class)
W       1700 1815 BUSN 104 (Class)
W       1700 1815 BUNCE TOHILL (Class)
W       1700 1815 BUNCE 159 (Class)
"W       1700 1815 301HGH 305 (Class)
W       1830 1945 301HGH 305 (Class)"
W       1700 1750 WILSON 156 (Class)
W       1530 1645 VCTRIA 300 (Class)
"W       1530 1645 ROBSON 311 (Class)
W       1700 1815 ROBSON 311 (Class)"
W       1530 1645 ROBSON 121 (Class)
"W       1530 1645 REXT 319 (Class)
W       1700 1815 REXT 319 (Class)"
"W       1530 1645 REXT 319 (Class)
W       1700 1815 REXT 319 (Class)"
"W       1530 1645 JAMES 1115 (Class)
W       1700 1815 JAMES 1115 (Class)"
"W       1530 1645 HAWTHN 204 (Class)
W       1700 1815 HAWTHN 204 (Class)"
"W       1530 1645 BUSN 227 (Class)
W       1700 1815 BUSN 227 (Class)"
"W       1530 1645 BUNCE 107 (Class)
W       1700 1815 BUNCE 107 (Class)"
"W       1530 1645 BOZ 166 (Class)
W       1700 1815 BOZ 166 (Class)"
"W       1530 1645 BOZ 132 (Class)
W       1700 1815 BOZ 132 (Class)"
"W       1530 1645 BOZ 112 (Class)
W       1700 1815 BOZ 112 (Class)"
"W       1530 1645 BOZ 112 (Class)
W       1700 1815 BOZ 112 (Class)"
"W       1530 1645 301HGH 216 (Class)
W       1700 1815 301HGH 216 (Class)"
W       1400 1540 BUNCE 156 (Class)
"W       1400 1515 WINANS 111 (Class)
W       1530 1645 WINANS 111 (Class)"
W       1400 1515 WILSON 101 (Class)
"W       1400 1515 WESTBY 206 (Class)
W       1530 1645 WESTBY 206 (Class)"
W       1400 1515 SCIENC 324 (Class)
W       1400 1515 SCIENC 324 (Class)
W       1400 1515 SCIENC 324 (Class)
"W       1400 1515 REXT 320 (Class)
F       1100 1215 REXT 320 (Class)"
"W       1400 1515 REXT 319 (Class)
F       1230 1345 REXT 320 (Class)"
"W       1400 1515 LBRARY 525 (Class)
W       1530 1645 LBRARY 525 (Class)"
W       1400 1450 JAMES 3091B (Class)
"W       1230 1345 VCTRIA 302 (Class)
W       1400 1515 VCTRIA 302 (Class)"
"W       1230 1345 VCTRIA 200 (Class)
W       1400 1515 VCTRIA 200 (Class)"
"W       1230 1345 VCTRIA 200 (Class)
W       1400 1515 VCTRIA 200 (Class)"
"W       1230 1345 SAVITZ 321 (Class)
W       1400 1515 SAVITZ 321 (Class)"
"W       1230 1345 ROBSON 101A (Class)
F       1230 1345 ROBSON 224 (Class)"
"W       1230 1345 LBRARY 403 (Class)
W       1400 1515 LBRARY 403 (Class)"
"W       1230 1345 JAMES 1112 (Class)
W       1400 1515 JAMES 1112 (Class)"
"W       1230 1345 JAMES 1081 (Class)
W       1400 1515 JAMES 1081 (Class)"
"W       1230 1345 JAMES 1020 (Class)
W       1400 1515 JAMES 1020 (Class)"
"W       1230 1345 BUNCE 107 (Class)
W       1400 1515 BUNCE 107 (Class)"
"W       1230 1345 BOZ 166 (Class)
W       1400 1515 BOZ 166 (Class)"
"W       1230 1345 BOZ 147 (Class)
W       1400 1515 BOZ 147 (Class)"
"W       1230 1345 BOZ 132 (Class)
W       1400 1515 BOZ 132 (Class)"
W       1230 1320 WILSON 101 (Class)
W       1230 1320 JAMES 3091B (Class)
W       1230 1320 JAMES 2110 (Class)
W       1100 1240 JAMES 3112 (Class)
W       1100 1240 JAMES 3102 (Class)
W       1100 1240 JAMES 3099 (Class)
"W       1100 1215 WHITNY CL-202 (Class)
W       1230 1345 WHITNY CL-202 (Class)"
"W       1100 1215 WESTBY 206 (Class)
W       1230 1345 WESTBY 206 (Class)"
"W       1100 1215 ROWAN 146 (Class)
W       1230 1345 ROWAN 146 (Class)"
"W       1100 1215 ROBSON 302 (Class)
W       1230 1345 ROBSON 302 (Class)"
"W       1100 1215 LBRARY 126 (Class)
W       1230 1345 LBRARY 126 (Class)"
"W       1100 1215 JAMES 3117 (Class)
W       1230 1345 ESBY 103G (Class)"
"W       1100 1215 JAMES 2103 (Class)
W       1230 1345 JAMES 2103 (Class)"
W       0930 1110 BOZ 132 (Class)
W       0930 1045 WILSON 101 (Class)
"W       0930 1045 SCIENC 341 (Class)
W       1100 1215 SCIENC 341 (Class)
W       1230 1345 SCIENC 341 (Class)"
"W       0930 1045 SAVITZ 321 (Class)
W       1100 1215 SAVITZ 321 (Class)"
"W       0930 1045 ROWAN 117 (Class)
F       1100 1215 BUSN 121 (Class)"
"W       0930 1045 JAMES 2100 (Class)
F       0930 1045 JAMES 1081 (Class)"
"W       0930 1045 BUNCE 107 (Class)
W       1100 1215 BUNCE 107 (Class)"
"W       0930 1045 BOZ 166 (Class)
W       1100 1215 BOZ 166 (Class)"
"W       0930 1045 BOZ 147 (Class)
W       1100 1215 BOZ 147 (Class)"
"W       0800 1600   (Class)
W       1700 1815 JAMES 3102 (Class)
W       1830 1945 JAMES 3102 (Class)"
"W       0800 1330   (Class)
R       1400 1515 JAMES 2095 (Class)
R       1530 1645 JAMES 2095 (Class)"
"W       0800 1330   (Class)
R       1400 1515 JAMES 1112 (Class)
R       1530 1645 JAMES 1112 (Class)"
W       0800 0940 JAMES 3102 (Class)
"W       0800 0915 WILSON 212 (Class)
W       0930 1045 WILSON 212 (Class)"
"W       0800 0915 SCIENC 126 (Class)
